STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,2,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,162,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COD,"Congo, Dem. Rep.",PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,5,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COG,"Congo, Rep.",PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,3,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHE,Switzerland,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,78,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,5,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,52,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CMR,Cameroon,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,7,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHN,China,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,41,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COL,Colombia,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,23,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
